date,title,channel,section,counted_because,ai_mentions,url
2026-09-11,Can A.I. “Go Rogue”?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/can-ai-go-rogue
2026-09-14,The American Religion of Self-Storage Facilities,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2026/09/21/the-american-religion-of-self-storage-facilities
2026-09-15,Will A.I. Overwrite Our Sense of Shame?,online,news,tag,,https://www.newyorker.com/news/fault-lines/will-ai-overwrite-our-sense-of-shame
2026-09-16,My Weekend with an A.I. Agent,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/my-weekend-with-an-ai-agent
2026-09-16,The Long Doomsday of A.I.,online,culture,tag,,https://www.newyorker.com/culture/open-questions/the-long-doomsday-of-ai
2026-09-16,"How, Exactly, Could A.I. Kill Us?",online,news,tag,,https://www.newyorker.com/news/q-and-a/how-exactly-could-ai-kill-us
2026-09-17,What We Lost When Big Tech Took Over the Classroom,online,culture,tag,,https://www.newyorker.com/culture/progress-report/what-we-lost-when-big-tech-took-over-the-classroom
2026-09-19,Should the Classroom Be More Like the Gym?,online,culture,tag,,https://www.newyorker.com/culture/the-weekend-essay/should-the-classroom-be-more-like-the-gym
2026-09-20,Our A.I. Problem,print,magazine,headline,10,https://www.newyorker.com/magazine/2026/09/28/our-ai-problem
2026-09-21,Is A.I. Above the Law?,print,magazine,headline,31,https://www.newyorker.com/magazine/2026/09/28/is-ai-above-the-law
2026-09-21,The Curious Power of Punctuation,print,magazine,text (9 mentions),9,https://www.newyorker.com/magazine/2026/09/28/on-the-mark-louis-menand-book-review
2026-09-23,An OpenAI Engineer and His Friends Debate the Future,online,culture,tag,,https://www.newyorker.com/culture/the-new-yorker-documentary/an-openai-engineer-and-his-friends-debate-the-future
2026-09-23,What China’s Vibe-Coding Capital Can Tell Us About the A.I. Boom,online,news,tag,,https://www.newyorker.com/news/the-lede/what-chinas-vibe-coding-capital-can-tell-us-about-the-ai-boom
2026-09-24,There Is No A.I. “Race”,online,news,tag,,https://www.newyorker.com/news/the-lede/there-is-no-ai-race
